Date,"Anglerfish","Kendrick Lamar"
2023-05-01,1546,5930
2023-05-02,1533,5863
2023-05-03,1464,5529
2023-05-04,1535,5693
2023-05-05,1439,5464
2023-05-06,1331,5119
2023-05-07,1389,5217
2023-05-08,1578,5684
2023-05-09,1506,5820
2023-05-10,1477,5723
2023-05-11,1539,5510
2023-05-12,1612,5588
2023-05-13,2578,5449
2023-05-14,1561,5415
2023-05-15,1717,5916
2023-05-16,1820,5752
2023-05-17,1531,5284
2023-05-18,1460,5174
2023-05-19,1494,5179
2023-05-20,1699,6611
2023-05-21,1599,5966
2023-05-22,1415,5951
2023-05-23,1530,5924
2023-05-24,1440,6306
2023-05-25,1370,5687
2023-05-26,1400,5617
2023-05-27,1277,5218
2023-05-28,1452,5106
2023-05-29,1401,5532
2023-05-30,1329,6444
2023-05-31,1614,7287
2023-06-01,1529,6573
2023-06-02,2610,6625
2023-06-03,1295,6232
2023-06-04,1424,5960
2023-06-05,1385,6010
2023-06-06,1357,6123
2023-06-07,1375,6549
2023-06-08,1416,6467
2023-06-09,1433,6285
2023-06-10,1415,5733
2023-06-11,1579,8326
2023-06-12,1520,6497
2023-06-13,1434,5809
2023-06-14,1898,5799
2023-06-15,1725,5843
2023-06-16,1462,6948
2023-06-17,1420,10449
2023-06-18,1459,7513
2023-06-19,1398,5849
2023-06-20,2592,5608
2023-06-21,5371,6624
2023-06-22,8117,5124
2023-06-23,8041,5569
2023-06-24,5003,5397
2023-06-25,4008,5730
2023-06-26,3174,6730
2023-06-27,3105,6469
2023-06-28,2869,6219
2023-06-29,2834,6063
2023-06-30,2373,5638
2023-07-01,2328,5776
2023-07-02,3145,6004
2023-07-03,3069,5394
2023-07-04,2456,5389
2023-07-05,2018,5353
2023-07-06,1951,5204
2023-07-07,1795,5492
2023-07-08,1879,5342
2023-07-09,1895,5331
2023-07-10,1880,5101
2023-07-11,1655,5098
2023-07-12,1715,5494
2023-07-13,1574,5535
2023-07-14,1692,5347
2023-07-15,1791,6740
2023-07-16,1704,5371
2023-07-17,2090,5846
2023-07-18,1714,5946
2023-07-19,1585,5274
2023-07-20,1468,5596
2023-07-21,1403,5769
2023-07-22,1616,5109
2023-07-23,1973,5019
2023-07-24,2045,5192
2023-07-25,1891,5094
2023-07-26,1636,5013
2023-07-27,1563,5403
2023-07-28,1689,5543
2023-07-29,1487,5222
2023-07-30,1552,5270
2023-07-31,1468,5084
2023-08-01,1245,5170
2023-08-02,1295,5241
2023-08-03,1353,5612
2023-08-04,1257,5849
2023-08-05,1463,6857
2023-08-06,1503,5975
2023-08-07,1321,6171
2023-08-08,1305,5787
2023-08-09,1341,6085
2023-08-10,1247,5833
2023-08-11,1347,6167
2023-08-12,1310,6927
2023-08-13,1413,5660
2023-08-14,1379,5410
2023-08-15,1286,5224
2023-08-16,1360,6509
2023-08-17,1273,5114
2023-08-18,1222,5153
2023-08-19,1213,4859
2023-08-20,1261,5122
2023-08-21,1904,5199
2023-08-22,1624,4921
2023-08-23,1532,4838
2023-08-24,2051,4881
2023-08-25,2262,4946
2023-08-26,1704,4383
2023-08-27,1421,4627
2023-08-28,1351,4615
2023-08-29,1300,4642
2023-08-30,1180,4648
2023-08-31,1317,4531
2023-09-01,1272,4629
2023-09-02,1201,4486
2023-09-03,1416,4487
2023-09-04,1293,4261
2023-09-05,1286,5156
2023-09-06,1259,4815
2023-09-07,1432,5007
2023-09-08,1241,5327
2023-09-09,1331,4879
2023-09-10,1227,4693
2023-09-11,1325,4476
2023-09-12,1242,4912
2023-09-13,1159,4872
2023-09-14,1249,4943
2023-09-15,1160,4808
2023-09-16,1226,4444
2023-09-17,1273,4496
2023-09-18,1269,4494
2023-09-19,1272,4202
2023-09-20,1241,4381
2023-09-21,1276,4420
2023-09-22,1272,4559
2023-09-23,1517,4375
2023-09-24,1437,4636
2023-09-25,1256,4647
2023-09-26,1188,4498
2023-09-27,1302,4300
2023-09-28,1322,4772
2023-09-29,1144,4636
2023-09-30,1323,4415
2023-10-01,1424,4371
2023-10-02,1423,4250
2023-10-03,1300,4362
2023-10-04,1365,4380
2023-10-05,1212,4612
2023-10-06,1237,5448
2023-10-07,1105,6458
2023-10-08,1273,5214
2023-10-09,1298,4941
2023-10-10,1356,4853
2023-10-11,1799,5517
2023-10-12,1660,5065
2023-10-13,1339,4850
2023-10-14,1362,5163
2023-10-15,1233,4856
