Date,"Seabed mining","Anglerfish"
2023-01-20,4,1356
2023-01-21,8,1303
2023-01-22,8,1444
2023-01-23,6,1295
2023-01-24,12,1241
2023-01-25,14,1256
2023-01-26,9,1267
2023-01-27,7,1250
2023-01-28,8,1353
2023-01-29,23,1281
2023-01-30,8,1348
2023-01-31,23,1342
2023-02-01,7,1455
2023-02-02,12,1493
2023-02-03,10,1762
2023-02-04,8,1789
2023-02-05,10,1787
2023-02-06,6,1672
2023-02-07,13,1460
2023-02-08,8,1464
2023-02-09,13,1469
2023-02-10,10,1328
2023-02-11,3,1401
2023-02-12,11,1417
2023-02-13,11,1324
2023-02-14,15,1489
2023-02-15,14,1284
2023-02-16,9,1439
2023-02-17,15,1385
2023-02-18,12,1422
2023-02-19,9,1697
2023-02-20,15,1515
2023-02-21,16,1825
2023-02-22,11,2056
2023-02-23,7,1770
2023-02-24,11,1520
2023-02-25,7,1503
2023-02-26,4,1636
2023-02-27,16,1530
2023-02-28,16,1511
2023-03-01,11,1532
2023-03-02,13,1686
2023-03-03,7,1576
2023-03-04,12,1461
2023-03-05,17,1712
2023-03-06,12,1514
2023-03-07,14,1635
2023-03-08,17,1500
2023-03-09,13,1405
2023-03-10,12,1343
2023-03-11,10,1343
2023-03-12,15,1632
2023-03-13,15,1734
2023-03-14,21,1551
2023-03-15,14,1390
2023-03-16,10,1997
2023-03-17,13,1549
2023-03-18,25,1510
2023-03-19,10,1870
2023-03-20,6,1777
2023-03-21,13,1658
2023-03-22,4,1669
2023-03-23,10,1746
2023-03-24,11,1731
2023-03-25,12,1698
2023-03-26,8,1636
2023-03-27,17,1569
2023-03-28,15,1513
2023-03-29,13,6369
2023-03-30,21,2448
2023-03-31,7,1776
2023-04-01,12,1664
2023-04-02,11,1588
2023-04-03,15,1845
2023-04-04,15,1688
2023-04-05,19,1417
2023-04-06,10,1358
2023-04-07,18,1404
2023-04-08,8,1367
2023-04-09,8,1347
2023-04-10,8,1676
2023-04-11,12,1607
2023-04-12,11,1512
2023-04-13,17,1469
2023-04-14,8,1354
2023-04-15,6,1293
2023-04-16,7,1358
2023-04-17,12,1459
2023-04-18,15,1375
2023-04-19,12,1475
2023-04-20,14,1467
2023-04-21,15,1488
2023-04-22,13,1459
2023-04-23,16,1684
2023-04-24,9,1479
2023-04-25,11,1520
2023-04-26,12,1511
2023-04-27,7,1337
2023-04-28,5,1496
2023-04-29,12,1479
2023-04-30,10,1503
2023-05-01,15,1546
2023-05-02,7,1533
2023-05-03,17,1464
2023-05-04,6,1535
2023-05-05,10,1439
2023-05-06,12,1331
2023-05-07,15,1389
2023-05-08,14,1578
2023-05-09,11,1506
2023-05-10,17,1477
2023-05-11,12,1539
2023-05-12,3,1612
2023-05-13,5,2578
2023-05-14,5,1561
2023-05-15,14,1717
2023-05-16,11,1820
2023-05-17,17,1531
2023-05-18,8,1460
2023-05-19,14,1494
2023-05-20,4,1699
2023-05-21,15,1599
2023-05-22,12,1415
2023-05-23,9,1530
2023-05-24,15,1440
2023-05-25,6,1370
2023-05-26,11,1400
2023-05-27,17,1277
2023-05-28,11,1452
2023-05-29,7,1401
2023-05-30,13,1329
2023-05-31,10,1614
2023-06-01,11,1529
2023-06-02,14,2610
2023-06-03,10,1295
2023-06-04,10,1424
2023-06-05,14,1385
2023-06-06,10,1357
2023-06-07,10,1375
2023-06-08,11,1416
2023-06-09,14,1433
2023-06-10,10,1415
2023-06-11,5,1579
2023-06-12,11,1520
2023-06-13,8,1434
2023-06-14,20,1898
2023-06-15,10,1725
2023-06-16,11,1462
2023-06-17,12,1420
2023-06-18,8,1459
2023-06-19,12,1398
2023-06-20,26,2592
2023-06-21,31,5371
2023-06-22,33,8117
2023-06-23,32,8041
2023-06-24,24,5003
2023-06-25,16,4008
2023-06-26,15,3174
2023-06-27,14,3105
2023-06-28,19,2869
2023-06-29,18,2834
2023-06-30,8,2373
2023-07-01,5,2328
2023-07-02,8,3145
2023-07-03,20,3069
2023-07-04,14,2456
2023-07-05,18,2018
2023-07-06,18,1951
2023-07-07,19,1795
2023-07-08,15,1879
2023-07-09,16,1895
2023-07-10,15,1880
2023-07-11,26,1655
2023-07-12,23,1715
2023-07-13,24,1574
2023-07-14,19,1692
2023-07-15,21,1791
2023-07-16,14,1704
2023-07-17,23,2090
2023-07-18,18,1714
2023-07-19,18,1585
2023-07-20,14,1468
2023-07-21,15,1403
2023-07-22,15,1616
2023-07-23,10,1973
2023-07-24,20,2045
2023-07-25,44,1891
2023-07-26,24,1636
2023-07-27,23,1563
2023-07-28,24,1689
2023-07-29,11,1487
2023-07-30,12,1552
2023-07-31,17,1468
2023-08-01,11,1245
2023-08-02,16,1295
2023-08-03,16,1353
2023-08-04,7,1257
2023-08-05,847,1463
2023-08-06,358,1503
2023-08-07,261,1321
2023-08-08,144,1305
2023-08-09,124,1341
2023-08-10,89,1247
2023-08-11,63,1347
2023-08-12,55,1310
2023-08-13,74,1413
2023-08-14,61,1379
2023-08-15,50,1286
2023-08-16,38,1360
2023-08-17,40,1273
2023-08-18,46,1222
2023-08-19,29,1213
2023-08-20,31,1261
2023-08-21,37,1904
2023-08-22,36,1624
2023-08-23,32,1532
2023-08-24,32,2051
2023-08-25,55,2262
2023-08-26,79,1704
2023-08-27,82,1421
2023-08-28,64,1351
2023-08-29,43,1300
2023-08-30,50,1180
2023-08-31,45,1317
2023-09-01,25,1272
2023-09-02,42,1201
2023-09-03,28,1416
2023-09-04,41,1293
2023-09-05,30,1286
2023-09-06,39,1259
2023-09-07,36,1432
2023-09-08,22,1241
2023-09-09,30,1331
2023-09-10,30,1227
2023-09-11,34,1325
2023-09-12,32,1242
2023-09-13,23,1159
2023-09-14,21,1249
2023-09-15,27,1160
