Date,"Anglerfish","Taylor Swift"
2023-01-01,1535,29705
2023-01-02,1409,25766
2023-01-03,1232,24682
2023-01-04,1193,21214
2023-01-05,1288,22873
2023-01-06,1220,22958
2023-01-07,1267,24937
2023-01-08,1239,29436
2023-01-09,1127,22164
2023-01-10,1223,25930
2023-01-11,1296,22099
2023-01-12,1349,21840
2023-01-13,1373,26848
2023-01-14,1222,25927
2023-01-15,1239,24798
2023-01-16,1608,22685
2023-01-17,1285,25180
2023-01-18,1429,23066
2023-01-19,1363,22679
2023-01-20,1356,22254
2023-01-21,1303,24387
2023-01-22,1444,24182
2023-01-23,1295,21712
2023-01-24,1241,26468
2023-01-25,1256,26686
2023-01-26,1267,24864
2023-01-27,1250,32671
2023-01-28,1353,30974
2023-01-29,1281,29933
2023-01-30,1348,25168
2023-01-31,1342,23685
2023-02-01,1455,27422
2023-02-02,1493,29332
2023-02-03,1762,29455
2023-02-04,1789,28026
2023-02-05,1787,33259
2023-02-06,1672,80064
2023-02-07,1460,43915
2023-02-08,1464,32818
2023-02-09,1469,30689
2023-02-10,1328,28784
2023-02-11,1401,35415
2023-02-12,1417,32456
2023-02-13,1324,30877
2023-02-14,1489,28729
2023-02-15,1284,28369
2023-02-16,1439,27249
2023-02-17,1385,25687
2023-02-18,1422,26226
2023-02-19,1697,24008
2023-02-20,1515,22231
2023-02-21,1825,21880
2023-02-22,2056,21213
2023-02-23,1770,21604
2023-02-24,1520,22303
2023-02-25,1503,25208
2023-02-26,1636,26087
2023-02-27,1530,23185
2023-02-28,1511,22634
2023-03-01,1532,21810
2023-03-02,1686,22871
2023-03-03,1576,25019
2023-03-04,1461,25052
2023-03-05,1712,25988
2023-03-06,1514,22946
2023-03-07,1635,23044
2023-03-08,1500,23080
2023-03-09,1405,22826
2023-03-10,1343,24978
2023-03-11,1343,25376
2023-03-12,1632,25124
2023-03-13,1734,23665
2023-03-14,1551,23773
2023-03-15,1390,24535
2023-03-16,1997,29332
2023-03-17,1549,53756
2023-03-18,1510,79805
2023-03-19,1870,77980
2023-03-20,1777,63858
2023-03-21,1658,52466
2023-03-22,1669,46679
2023-03-23,1746,42576
2023-03-24,1731,39666
2023-03-25,1698,45601
2023-03-26,1636,47883
2023-03-27,1569,41700
2023-03-28,1513,48788
2023-03-29,6369,37022
2023-03-30,2448,35083
2023-03-31,1776,34871
2023-04-01,1664,41730
2023-04-02,1588,44082
2023-04-03,1845,43073
2023-04-04,1688,35022
2023-04-05,1417,31925
2023-04-06,1358,31366
2023-04-07,1404,32267
2023-04-08,1367,37391
2023-04-09,1347,151953
2023-04-10,1676,82927
2023-04-11,1607,61461
2023-04-12,1512,45130
2023-04-13,1469,41516
2023-04-14,1354,44387
2023-04-15,1293,45056
2023-04-16,1358,45192
2023-04-17,1459,36999
2023-04-18,1375,32589
2023-04-19,1475,40362
2023-04-20,1467,40265
2023-04-21,1488,41568
2023-04-22,1459,46164
2023-04-23,1684,47533
2023-04-24,1479,43582
2023-04-25,1520,38587
2023-04-26,1511,34103
2023-04-27,1337,37603
2023-04-28,1496,38672
2023-04-29,1479,40616
2023-04-30,1503,44421
2023-05-01,1546,41905
2023-05-02,1533,37989
2023-05-03,1464,35218
2023-05-04,1535,45836
2023-05-05,1439,45491
2023-05-06,1331,88356
2023-05-07,1389,68356
2023-05-08,1578,68456
2023-05-09,1506,66731
2023-05-10,1477,46087
2023-05-11,1539,46377
2023-05-12,1612,51609
2023-05-13,2578,86141
2023-05-14,1561,74153
2023-05-15,1717,66144
2023-05-16,1820,62457
2023-05-17,1531,53527
2023-05-18,1460,45861
2023-05-19,1494,47598
2023-05-20,1699,51277
2023-05-21,1599,53054
2023-05-22,1415,50768
2023-05-23,1530,46760
2023-05-24,1440,44135
2023-05-25,1370,45707
2023-05-26,1400,51611
2023-05-27,1277,63804
2023-05-28,1452,59793
2023-05-29,1401,58214
2023-05-30,1329,48967
2023-05-31,1614,42610
2023-06-01,1529,42746
2023-06-02,2610,47566
2023-06-03,1295,53090
2023-06-04,1424,55272
2023-06-05,1385,67743
2023-06-06,1357,70909
2023-06-07,1375,56314
2023-06-08,1416,48506
2023-06-09,1433,51795
2023-06-10,1415,55221
2023-06-11,1579,50584
2023-06-12,1520,43962
2023-06-13,1434,37816
2023-06-14,1898,36104
2023-06-15,1725,37680
2023-06-16,1462,40652
2023-06-17,1420,47894
2023-06-18,1459,52734
2023-06-19,1398,46296
2023-06-20,2592,57426
2023-06-21,5371,66077
2023-06-22,8117,50924
2023-06-23,8041,51902
2023-06-24,5003,55494
2023-06-25,4008,63535
2023-06-26,3174,56500
2023-06-27,3105,52869
2023-06-28,2869,70480
2023-06-29,2834,59517
2023-06-30,2373,74734
2023-07-01,2328,75048
2023-07-02,3145,67935
2023-07-03,3069,61329
2023-07-04,2456,59953
2023-07-05,2018,69098
2023-07-06,1951,69795
2023-07-07,1795,157758
2023-07-08,1879,141966
2023-07-09,1895,117310
2023-07-10,1880,94704
2023-07-11,1655,82365
2023-07-12,1715,77849
2023-07-13,1574,71355
2023-07-14,1692,68220
2023-07-15,1791,74060
2023-07-16,1704,72333
2023-07-17,2090,69245
2023-07-18,1714,70361
2023-07-19,1585,61087
2023-07-20,1468,54604
2023-07-21,1403,52812
2023-07-22,1616,61206
2023-07-23,1973,61844
2023-07-24,2045,59822
2023-07-25,1891,50578
2023-07-26,1636,49655
2023-07-27,1563,52820
2023-07-28,1689,59840
2023-07-29,1487,81361
2023-07-30,1552,70251
2023-07-31,1468,53738
2023-08-01,1245,49441
2023-08-02,1295,57005
2023-08-03,1353,76187
2023-08-04,1257,94917
2023-08-05,1463,88072
2023-08-06,1503,88161
2023-08-07,1321,76591
2023-08-08,1305,68535
2023-08-09,1341,76088
2023-08-10,1247,149953
2023-08-11,1347,102326
2023-08-12,1310,84933
2023-08-13,1413,78958
2023-08-14,1379,66897
2023-08-15,1286,60394
2023-08-16,1360,55896
2023-08-17,1273,54984
2023-08-18,1222,54716
2023-08-19,1213,59082
2023-08-20,1261,59808
2023-08-21,1904,53982
2023-08-22,1624,55434
2023-08-23,1532,53151
2023-08-24,2051,49719
2023-08-25,2262,51970
2023-08-26,1704,54488
2023-08-27,1421,55845
2023-08-28,1351,48369
2023-08-29,1300,45353
2023-08-30,1180,42172
2023-08-31,1317,51222
2023-09-01,1272,60173
2023-09-02,1201,55240
2023-09-03,1416,51202
2023-09-04,1293,50097
2023-09-05,1286,41781
2023-09-06,1259,38861
2023-09-07,1432,37563
2023-09-08,1241,43037
2023-09-09,1331,38701
2023-09-10,1227,37540
2023-09-11,1325,34055
2023-09-12,1242,40038
2023-09-13,1159,90176
2023-09-14,1249,79851
2023-09-15,1160,79577
2023-09-16,1226,69255
2023-09-17,1273,67618
2023-09-18,1269,58324
2023-09-19,1272,188263
2023-09-20,1241,223877
2023-09-21,1276,90157
2023-09-22,1272,70574
2023-09-23,1517,60062
2023-09-24,1437,177108
2023-09-25,1256,322015
2023-09-26,1188,244938
2023-09-27,1302,160595
2023-09-28,1322,126406
2023-09-29,1144,110485
2023-09-30,1323,93326
2023-10-01,1424,110653
2023-10-02,1423,278257
2023-10-03,1300,120892
2023-10-04,1365,82615
2023-10-05,1212,72194
2023-10-06,1237,76700
2023-10-07,1105,71505
2023-10-08,1273,80755
2023-10-09,1298,61223
2023-10-10,1356,50258
2023-10-11,1799,44999
2023-10-12,1660,69620
2023-10-13,1339,119232
2023-10-14,1362,116374
2023-10-15,1233,139783
2023-10-16,1266,122040
2023-10-17,1195,92614
2023-10-18,1409,73543
2023-10-19,1722,77211
2023-10-20,2254,80271
2023-10-21,2375,88518
2023-10-22,1681,138378
2023-10-23,1878,132287
2023-10-24,2054,100914
2023-10-25,1747,77702
2023-10-26,2034,72033
2023-10-27,2087,179892
2023-10-28,1841,144234
2023-10-29,1881,116234
2023-10-30,1706,89824
2023-10-31,2201,72409
2023-11-01,2687,64155
2023-11-02,2380,65637
2023-11-03,2516,73541
2023-11-04,1907,79602
2023-11-05,1696,82474
2023-11-06,1599,70200
2023-11-07,1488,58759
2023-11-08,1466,57910
2023-11-09,1603,59064
2023-11-10,1755,73652
2023-11-11,1676,81979
2023-11-12,1964,144281
2023-11-13,1710,130878
2023-11-14,1611,95377
