Date,"Polar bear","Great white shark","Blue whale","Anglerfish"
2023-01-01,3420,1917,2629,1535
2023-01-02,3237,2267,2793,1409
2023-01-03,2840,2130,2894,1232
2023-01-04,3694,2458,2838,1193
2023-01-05,3341,2550,2840,1288
2023-01-06,3134,2460,2837,1220
2023-01-07,2902,2496,3093,1267
2023-01-08,3014,2548,3562,1239
2023-01-09,5199,2633,3511,1127
2023-01-10,7731,2805,3103,1223
2023-01-11,4007,2716,3209,1296
2023-01-12,3817,2822,3057,1349
2023-01-13,3466,2725,3504,1373
2023-01-14,2943,2450,3013,1222
2023-01-15,3391,2380,3340,1239
2023-01-16,3549,2499,4725,1608
2023-01-17,3776,2610,5142,1285
2023-01-18,6746,2743,3604,1429
2023-01-19,5445,2686,3507,1363
2023-01-20,4992,3672,3236,1356
2023-01-21,3811,5153,3376,1303
2023-01-22,3737,4877,3328,1444
2023-01-23,4016,3390,3524,1295
2023-01-24,4009,3119,3275,1241
2023-01-25,3837,2729,3104,1256
2023-01-26,3799,2678,3102,1267
2023-01-27,3650,2721,3322,1250
2023-01-28,2972,2678,3297,1353
2023-01-29,3456,3405,3766,1281
2023-01-30,3868,2913,3426,1348
2023-01-31,3923,2982,3559,1342
2023-02-01,3663,3549,3201,1455
2023-02-02,3788,2794,3226,1493
2023-02-03,3397,2860,3232,1762
2023-02-04,3225,3193,3396,1789
2023-02-05,3550,3462,3406,1787
2023-02-06,3534,3302,3291,1672
2023-02-07,3680,2777,3089,1460
2023-02-08,3657,2734,2937,1464
2023-02-09,3448,2875,3659,1469
2023-02-10,3195,2403,2991,1328
2023-02-11,2879,2204,2923,1401
2023-02-12,2997,2543,3190,1417
2023-02-13,3233,2517,3021,1324
2023-02-14,3052,2447,3116,1489
2023-02-15,2964,2941,3062,1284
2023-02-16,3022,2511,3105,1439
2023-02-17,2934,2463,3108,1385
2023-02-18,2687,2512,3116,1422
2023-02-19,3028,2806,5850,1697
2023-02-20,3208,3309,3614,1515
2023-02-21,3149,3024,3755,1825
2023-02-22,3318,2712,3449,2056
2023-02-23,3298,2859,3166,1770
2023-02-24,3210,2439,3062,1520
2023-02-25,2831,3559,3327,1503
2023-02-26,3358,2788,3835,1636
2023-02-27,12885,2580,3603,1530
2023-02-28,5775,2938,3549,1511
2023-03-01,4014,2810,3379,1532
2023-03-02,3985,2460,3334,1686
2023-03-03,3714,3724,3512,1576
2023-03-04,3150,2883,3217,1461
2023-03-05,3370,2997,4018,1712
2023-03-06,3707,3080,4041,1514
2023-03-07,3923,2969,3753,1635
2023-03-08,3559,2728,3471,1500
2023-03-09,3732,3146,3676,1405
2023-03-10,3165,2908,3199,1343
2023-03-11,2898,2486,3218,1343
2023-03-12,3253,2977,4693,1632
2023-03-13,3441,2751,3634,1734
2023-03-14,3568,2835,4017,1551
2023-03-15,3780,3179,4003,1390
2023-03-16,3825,3326,3855,1997
2023-03-17,3146,3086,3634,1549
2023-03-18,2931,2694,3623,1510
2023-03-19,3024,2960,3526,1870
2023-03-20,3509,3230,3837,1777
2023-03-21,3520,3292,4565,1658
2023-03-22,3399,2998,4288,1669
2023-03-23,3923,2870,4508,1746
2023-03-24,3254,2804,3763,1731
2023-03-25,3017,2914,3921,1698
2023-03-26,3416,2883,3886,1636
2023-03-27,3887,3495,4376,1569
2023-03-28,3560,3559,4769,1513
2023-03-29,3353,3215,4350,6369
2023-03-30,3216,3192,4598,2448
2023-03-31,3014,3699,3637,1776
2023-04-01,2673,2556,3805,1664
2023-04-02,2882,2771,3727,1588
2023-04-03,3047,2958,4041,1845
2023-04-04,3024,2730,3852,1688
2023-04-05,2627,2521,2949,1417
2023-04-06,2756,2469,2971,1358
2023-04-07,2620,2600,3044,1404
2023-04-08,2367,2425,2993,1367
2023-04-09,2372,2503,3171,1347
2023-04-10,2631,2686,3210,1676
2023-04-11,2743,2700,3167,1607
2023-04-12,2848,2774,3094,1512
2023-04-13,2740,2526,3330,1469
2023-04-14,2638,2788,3059,1354
2023-04-15,2454,2281,2839,1293
2023-04-16,2678,2847,3012,1358
2023-04-17,3006,2735,3186,1459
2023-04-18,3075,2606,3246,1375
2023-04-19,3150,2656,4384,1475
2023-04-20,3235,2497,3498,1467
2023-04-21,3021,2514,3249,1488
2023-04-22,2583,2305,3259,1459
2023-04-23,2875,2656,3498,1684
2023-04-24,3228,3058,3799,1479
